date,indicator,value
2019-01-01,Population,4200.9
2019-01-01,Labour force,2800.2
2019-01-01,Employment,2669.3
2019-01-01,Unemployment rate,4.7
2019-01-01,Participation rate,66.7
2019-01-01,Employment rate,63.5
2019-02-01,Population,4204.9
2019-02-01,Labour force,2805.2
2019-02-01,Employment,2677.3
2019-02-01,Unemployment rate,4.6
2019-02-01,Participation rate,66.7
2019-02-01,Employment rate,63.7
2019-03-01,Population,4210.4
2019-03-01,Labour force,2807.4
2019-03-01,Employment,2671.5
2019-03-01,Unemployment rate,4.8
2019-03-01,Participation rate,66.7
2019-03-01,Employment rate,63.5
2019-04-01,Population,4218.3
2019-04-01,Labour force,2812.2
2019-04-01,Employment,2678.7
2019-04-01,Unemployment rate,4.7
2019-04-01,Participation rate,66.7
2019-04-01,Employment rate,63.5
2019-05-01,Population,4224.9
2019-05-01,Labour force,2827.2
2019-05-01,Employment,2698.5
2019-05-01,Unemployment rate,4.6
2019-05-01,Participation rate,66.9
2019-05-01,Employment rate,63.9
2019-06-01,Population,4231.4
2019-06-01,Labour force,2830.8
2019-06-01,Employment,2695.3
2019-06-01,Unemployment rate,4.8
2019-06-01,Participation rate,66.9
2019-06-01,Employment rate,63.7
2019-07-01,Population,4240.8
2019-07-01,Labour force,2818.6
2019-07-01,Employment,2685.4
2019-07-01,Unemployment rate,4.7
2019-07-01,Participation rate,66.5
2019-07-01,Employment rate,63.3
2019-08-01,Population,4248.7
2019-08-01,Labour force,2825.1
2019-08-01,Employment,2684.2
2019-08-01,Unemployment rate,5
2019-08-01,Participation rate,66.5
2019-08-01,Employment rate,63.2
2019-09-01,Population,4257.5
2019-09-01,Labour force,2810.4
2019-09-01,Employment,2669.8
2019-09-01,Unemployment rate,5
2019-09-01,Participation rate,66
2019-09-01,Employment rate,62.7
2019-10-01,Population,4264.7
2019-10-01,Labour force,2827.6
2019-10-01,Employment,2689.7
2019-10-01,Unemployment rate,4.9
2019-10-01,Participation rate,66.3
2019-10-01,Employment rate,63.1
2019-11-01,Population,4271.5
2019-11-01,Labour force,2823.1
